sampleid	Day	PigID	pen	Feed	Coli	Source	batch	key	sow	treat	Score	f_DM	RBC	HGB	HCT	MCV	MCH	MCHC	RET	RET_2	PLT	WBC	NEUT	LYMPH	MONO	EO	BASO	NEUT_2	LYMPH_2	MONO_2	EO_2	BASO_2
C1	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control
C2	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control
M154	7	6901	1	std	neg	faecal	1	1-6901-7	1229	NC	3	27.96332046	6.29	112	39.2	62.3	17.8	286	286.8	4.56	273	25.68	10.62	13.54	0.89	0.63	0	41.3	52.7	3.5	2.5	0
M155	7	6902	1	std	neg	faecal	1	1-6902-7	1229	NC	3	26.28644442	7.3	129	42.5	58.2	17.7	304	235.8	3.23	184	26.03	11.17	12.15	0.93	1.77	0.01	42.9	46.7	3.6	6.8	0
M156	7	6903	2	std	neg	faecal	1	1-6903-7	1117	NC	3	27.23461799	6.36	110	36.3	57.1	17.3	303	171.1	2.69	189	17.04	6.77	8.68	1.25	0.34	0	39.8	50.9	7.3	2	0
M157	7	6904	2	std	neg	faecal	1	1-6904-7	1117	NC	3	26.93333333	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
M158	7	6905	3	std	neg	faecal	1	1-6905-7	1309	NC	3	29.06336088	6.67	119	40.2	60.3	17.8	296	240.1	3.6	306	23.75	9.72	12.49	1.05	0.49	0	40.9	52.6	4.4	2.1	0
M159	7	6906	3	std	neg	faecal	1	1-6906-7	1309	NC	4	19.61789973	5.76	115	36.7	63.7	20	313	187.8	3.26	153	18.66	6.43	9.93	1.45	0.84	0.01	34.4	53.2	7.8	4.5	0.1
M160	7	6907	4	std	neg	faecal	1	1-6907-7	1322	NC	3	27.73031204	6.01	121	39.1	65.1	20.1	309	147.8	2.46	302	22.43	12.27	8.77	1.12	0.26	0.01	54.7	39.1	5	1.2	0
M161	7	6908	4	std	neg	faecal	1	1-6908-7	1322	NC	3	26.08367479	5.79	112	36.3	62.7	19.3	309	199.8	3.45	456	16.35	8.14	6.11	1.31	0.79	0	49.8	37.4	8	4.8	0
M162	7	6910	5	std	pos	faecal	1	1-6910-7	1229	PC	4	19.74928072	7.16	135	45	62.8	18.9	300	191.9	2.68	295	30.78	12.65	15.19	1.85	1.09	0	41.1	49.4	6	3.5	0
M163	7	6911	6	std	pos	faecal	1	1-6911-7	1117	PC	5	10.25641026	7.79	138	44.7	57.4	17.7	309	154.2	1.98	542	33.72	13.11	18.44	1.84	0.33	0	38.8	54.7	5.5	1	0
M164	7	6912	6	std	pos	faecal	1	1-6912-7	1117	PC	5	8.206875194	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
M165	7	6913	7	std	pos	faecal	1	1-6913-7	1309	PC	5	8.819523269	7.03	137	42.8	60.9	19.5	320	108.3	1.54	211	12.98	4.21	7.63	0.87	0.26	0.01	32.4	58.8	6.7	2	0.1
M166	7	6914	7	std	pos	faecal	1	1-6914-7	1309	PC	5	3.859435304	8.07	157	50.3	62.3	19.5	312	217.9	2.7	454	25.59	12.45	12.67	0.45	0.01	0.01	48.7	49.5	1.8	0	0
M167	7	6915	8	std	pos	faecal	1	1-6915-7	1322	PC	3	NA	6.67	127	44.3	66.4	19	287	245.5	3.68	278	18.98	8.38	9.78	0.52	0.3	0	44.2	51.5	2.7	1.6	0
M168	7	6917	9	apple	pos	faecal	1	1-6917-7	1229	GA	6	3.619100041	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
M169	7	6919	10	apple	pos	faecal	1	1-6919-7	1117	GA	5	9.536043524	0.01	0	0	0	0	NA	0.4	NA	0	14.72	5.63	7.84	0.87	0.38	0	38.2	53.3	5.9	2.6	0
M170	7	6920	10	apple	pos	faecal	1	1-6920-7	1117	GA	3	23.36101128	6.39	120	39.8	62.3	18.8	302	101	1.58	409	28.19	13.52	12.49	1.33	0.84	0.01	48	44.3	4.7	3	0
M171	7	6921	11	apple	pos	faecal	1	1-6921-7	1309	GA	3	25.82389846	5.96	113	37.6	63.1	19	301	137.7	2.31	184	15.76	6.84	7.37	1.06	0.49	0	43.4	46.8	6.7	3.1	0
M172	7	6922	11	apple	pos	faecal	1	1-6922-7	1309	GA	3	29.76802771	5.87	120	42.2	71.9	20.4	284	274.1	4.67	315	27.38	6.88	18.04	1.42	1.04	0	25.1	65.9	5.2	3.8	0
M173	7	6923	12	apple	pos	faecal	1	1-6923-7	1322	GA	3	29.6873419	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
M174	7	6924	12	apple	pos	faecal	1	1-6924-7	1322	GA	3	22.70601242	6.66	128	40.1	60.2	19.2	319	117.9	1.77	493	22.68	10.91	9.34	1.52	0.91	0	48.1	41.2	6.7	4	0
M175	7	6925	13	blackb	pos	faecal	1	1-6925-7	1229	GB	4	22.70479467	6.42	122	41.3	64.3	19	295	318.4	4.96	467	31.36	12.08	16.12	1.46	1.69	0.01	38.5	51.4	4.7	5.4	0
M176	7	6926	13	blackb	pos	faecal	1	1-6926-7	1229	GB	2	30.28759058	6.85	127	42.1	61.5	18.5	302	263	3.84	479	25.92	10.47	13.43	0.77	1.23	0.02	40.4	51.8	3	4.7	0.1
M177	7	6927	14	blackb	pos	faecal	1	1-6927-7	1117	GB	5	10.35910502	5.96	112	35.9	60.2	18.8	312	133.5	2.24	371	20.62	8.08	11.04	1.06	0.43	0.01	39.3	53.5	5.1	2.1	0
M178	7	6928	14	blackb	pos	faecal	1	1-6928-7	1117	GB	2	29.43630335	6.09	113	36.7	60.3	18.6	308	208.9	3.43	419	18.92	8.34	9.35	0.74	0.48	0.01	44.1	49.4	3.9	2.5	0.1
M179	7	6929	15	blackb	pos	faecal	1	1-6929-7	1309	GB	4	14.53684922	6.08	119	38.4	63.2	19.6	310	133.2	2.19	418	18.42	9.21	7.79	0.84	0.58	0	50	42.3	4.6	3.1	0
M180	7	6930	15	blackb	pos	faecal	1	1-6930-7	1309	GB	3	23.61656122	5.83	107	35	60	18.4	306	74	1.27	475	22.66	10.54	10.86	0.79	0.47	0	46.5	47.9	3.5	2.1	0
M181	7	6931	16	blackb	pos	faecal	1	1-6931-7	1322	GB	3	20.46880768	6.35	111	38.8	61.1	17.5	286	178.4	2.81	264	24.25	10.04	13.16	0.69	0.36	0	41.4	54.3	2.8	1.5	0
M182	7	6932	16	blackb	pos	faecal	1	1-6932-7	1322	GB	4	19.44633538	6.6	112	38.5	58.3	17	291	194	2.94	295	23.36	8.47	13.01	1.42	0.45	0.01	36.3	55.7	6.1	1.9	0
M241	14	6901	1	std	neg	faecal	1	1-6901-14	1229	NC	3	22.62780036	7.02	131	41.1	58.5	18.7	319	218.3	3.11	319	22.01	8.42	12.8	0.62	0.17	0	38.2	58.2	2.8	0.8	0
M242	14	6902	1	std	neg	faecal	1	1-6902-14	1229	NC	3	22.54098361	7.49	136	43	57.4	18.2	316	212	2.83	332	21.72	9.75	10.94	0.6	0.42	0.01	44.9	50.4	2.8	1.9	0
M243	14	6903	2	std	neg	faecal	1	1-6903-14	1117	NC	3	29.13987138	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
M244	14	6904	2	std	neg	faecal	1	1-6904-14	1117	NC	3	28.58625461	6.77	128	40	59.1	18.9	320	150.3	2.22	457	19.75	10.72	8.21	0.54	0.28	0	54.3	41.6	2.7	1.4	0
M245	14	6905	3	std	neg	faecal	1	1-6905-14	1309	NC	3	25.71724342	5.71	108	33.1	58	18.9	326	153.6	2.69	278	23.44	7.38	14.06	1.8	0.19	0.01	31.5	60	7.7	0.8	0
M246	14	6906	3	std	neg	faecal	1	1-6906-14	1309	NC	3	25.08131098	5.89	121	38.8	65.9	20.5	312	154.9	2.63	390	24.02	8.23	14.34	1.2	0.25	0	34.3	59.7	5	1	0
M247	14	6907	4	std	neg	faecal	1	1-6907-14	1322	NC	3	26.98584349	6.22	122	39.4	63.3	19.6	310	156.1	2.51	300	18.93	10.22	7.61	0.9	0.2	0	53.9	40.2	4.8	1.1	0
M248	14	6908	4	std	neg	faecal	1	1-6908-14	1322	NC	3	27.68371598	6.01	119	37.8	62.9	19.8	315	178.5	2.97	331	16.89	5.15	9.83	1.63	0.28	0	30.4	58.2	9.7	1.7	0
M249	14	6910	5	std	pos	faecal	1	1-6910-14	1229	PC	3	25.31674208	7.06	135	44.1	62.5	19.1	306	266.9	3.78	345	22.41	9.4	11.3	0.88	0.83	0	42	50.4	3.9	3.7	0
M250	14	6911	6	std	pos	faecal	1	1-6911-14	1117	PC	3	25.43341016	7.38	128	40.2	54.5	17.3	318	57.6	0.78	372	36.85	18.6	15.71	2.03	0.5	0.01	50.5	42.6	5.5	1.4	0
M251	14	6912	6	std	pos	faecal	1	1-6912-14	1117	PC	3	24.10233052	6.47	118	36.6	56.6	18.2	322	152.7	2.36	415	24.05	10.71	12.14	0.86	0.33	0.01	44.5	50.5	3.6	1.4	0
M252	14	6913	7	std	pos	faecal	1	1-6913-14	1309	PC	3	25.37701072	6.54	128	40.8	62.4	19.6	314	168.1	2.57	506	21.11	6.78	12.76	1.29	0.28	0	32.2	60.4	6.1	1.3	0
M253	14	6914	7	std	pos	faecal	1	1-6914-14	1309	PC	3	27.39109153	6.23	123	37.8	60.7	19.7	325	94.1	1.51	446	22.18	9.27	12.04	0.63	0.24	0	41.8	54.3	2.8	1.1	0
M254	14	6915	8	std	pos	faecal	1	1-6915-14	1322	PC	2	28.2616179	6.22	121	39.6	63.7	19.5	306	170.4	2.74	333	19.32	9.02	9.13	0.87	0.29	0.01	46.6	47.3	4.5	1.5	0.1
